Date,Headlines,Labels
05/06/2012,More on Facebook: The Reuters survey comes on a day when the company is introducing a major...,0
05/06/2012,"Facebook (FB -4%) heads into the close below $26, as the company's high multiples continue...",0
06/06/2012,Nasdaq OMX (NASDAQ:NDAQ) will today say how it will compensate financial firms for their losses...,2
06/06/2012,JMP's Mark Harding becomes the latest analyst to come to Facebook's (FB +2.1%) defense...,2
06/06/2012,More on JMP's Facebook upgrade: Mark Harding's $37 PT values Facebook (FB +0.7%) at 54x his 2013...,2
08/06/2012,comScore says it's preparing to publish new data next week on the impact that Facebook...,2
08/06/2012,Facebook (NASDAQ:FB) launches App Center - an Apple/Google-like online directory of downloadable...,2
08/06/2012,"Despite slight indications of Facebook (NASDAQ:FB) bottoming out, Wallstcheatsheet.com's Damien...",2
11/06/2012,"Facebook's (NASDAQ:FB) member and usage growth is slowing sharply in the U.S., data from...",1
11/06/2012,"The WSJ provides a detailed account of Facebook's (NASDAQ:FB) botched IPO, revealing that Nasdaq...",1
11/06/2012,"Unsurprisingly, Facebook (NASDAQ:FB) will be added to the Russell 3000, which covers ~98% of all...",1
11/06/2012,"The era of Internet monopolies is ending, suggests Tristan Louis, as giants such as Apple...",1
11/06/2012,A country-by-country map of the world's most popular social networks reveals Facebook...,1
11/06/2012,"As expected, Apple's (AAPL +0.5%) iOS 6 will have built-in Facebook (FB +2.1%) integration....",1
12/06/2012,Zynga (ZNGA -7.6%) plummets to new lows on yet another negative note (previous) from Cowen's...,1
12/06/2012,Facebook (NASDAQ:FB) goes after those criticizing the effectiveness of its ads with a study...,1
13/06/2012,"Samsung (OTC:SSNLF) plans to launch a social networking service by early next year, company...",0
13/06/2012,Facebook (NASDAQ:FB) plans to launch an ad bidding system that delivers ads based on user...,0
13/06/2012,More on Facebook: Though a recent Reuters survey indicated many U.S. users are reducing their...,0
14/06/2012,Samsung (OTC:SSNLF) denies rumors it plans to offer a Facebook-like (NASDAQ:FB) social...,2
14/06/2012,Some of the game developers who embraced Google+ (NASDAQ:GOOG) last summer are now abandoning...,2
14/06/2012,Some stats from a Mashable infographic about photography: 44% of all U.S. photos are now taken...,2
14/06/2012,"Online ad rivals Google (NASDAQ:GOOG), Facebook (NASDAQ:FB), Twitter, and AOL join forces to...",2
14/06/2012,"The number of global mobile Internet users will exceed the number of desktop users by 2014,...",2
15/06/2012,Facebook (NASDAQ:FB) is set to partly blame Nasdaq (NASDAQ:NDAQ) for the poor performance of its...,2
15/06/2012,Thanks to the Facebook (NASDAQ:FB) fiasco and the resulting selloff in many richly-valued...,2
15/06/2012,Facebook (FB +2.2%) has quietly put together a solid week with the help of an up-trending...,2
15/06/2012,Several volatile Internet names surged in late trading on option expiration day: ZNGA +10.7%. FB...,2
15/06/2012,"Facebook (NASDAQ:FB) CTO Bret Taylor is leaving the company to ""work on an undetermined...",2
18/06/2012,"Facebook (FB +5.8%) has acquired Face.com, the latter company announces on its blog. Facebook is...",2
18/06/2012,"It's another good day for recent consumer Internet IPOs, as short-covering and positive...",2
18/06/2012,"Facebook (NASDAQ:FB) continues to experiment with new ad formats (previous), even if it means...",2
18/06/2012,"Mark Cuban says he's already bailed out of Facebook (NASDAQ:FB), selling his entire 150K share...",2
18/06/2012,"Fueled by growing professional content support, YouTube's (NASDAQ:GOOG) U.S. monthly viewing...",2
19/06/2012,Facebook's (NASDAQ:FB) Sponsored Stories mobile news feed ads have a click rate nearly twice...,2
19/06/2012,Facebook (FB +1.6%) closes higher yet again: shares have rallied 25% from their June 6...,2
19/06/2012,Facebook (NASDAQ:FB) is adding a subscription billing option for games offered on its site. Thus...,2
20/06/2012,Sprint (NYSE:S) is paying $19M to settle a class-auction suit from customers claiming they were...,0
20/06/2012,A Yahoo (YHOO) lawyer confirms in a court filing his company and Facebook (NASDAQ:FB) are in...,0
20/06/2012,Facebook's (FB -1%) closely-scrutinized advertising ops receive new endorsements from Ford...,0
21/06/2012,"Facebook's (FB +0.6%) saw its U.S. unique visitors fall by roughly 700K M/M in May to 158M,...",1
21/06/2012,Facebook (NASDAQ:FB) will join Netflix in building its own content delivery network...,1
21/06/2012,More on Facebook: 1) Congressman Darrell Issa has sent a letter to the SEC on behalf of a House...,1
21/06/2012,"Facebook (FB +0.8%), which finished higher on an ugly day for tech, receives a bullish coverage...",1
22/06/2012,Facebook (FB +4.1%) continues its big rally with the help of Nomura's coverage launch. Some...,2
25/06/2012,"Facebook (NASDAQ:FB) has added COO Sheryl Sandberg, widely considered to be the...",0
26/06/2012,"Facebook (FB +3.7%) is rallying yet again - shares are now up 30% from their June 6 low, and...",2
26/06/2012,Announced thus far at Zynga's (ZNGA +1.2%) Unleashed event: 1) An multi-platform (i.e....,2
27/06/2012,Investment banks that participated in Facebook's (NASDAQ:FB) IPO have outlived their required...,1
27/06/2012,Facebook (FB -3.6%) heads south as investors who bid up shares on expectations of favorable...,1
27/06/2012,"BMO, the sole Facebook (FB -2.2%) underwriter issuing a bearish rating, says its checks with...",1
28/06/2012,"After reviewing the reports issued yesterday by Facebook's (FB -3.3%) IPO underwriters, Henry...",0
28/06/2012,Microsoft (NASDAQ:MSFT) plans to make Internet Explorer's Do Not Track feature activated by...,0
28/06/2012,Is Apple (NASDAQ:AAPL) Google's (NASDAQ:GOOG) biggest rival? Or is it Microsoft (NASDAQ:MSFT)?...,0
29/06/2012,Facebook (FB +0.2%) isn't taking part in today's rally after Macquarie's Ben Schachter starts...,0
02/07/2012,Relations between Facebook (NASDAQ:FB) and the NASDAQ (NASDAQ:NDAQ) remain frosty six weeks...,0
02/07/2012,Facebook's (NASDAQ:FB) creation of .facebook e-mail addresses for its 900M+ users is turning...,0
03/07/2012,General Motors (NYSE:GM) is back at the table with Facebook (NASDAQ:FB) over possibly...,1
03/07/2012,"As Facebook (NASDAQ:FB) attempts to maximize its profits, the company is looking to buy firms...",1
03/07/2012,"Long Island Power Authority is the most disliked company in the U.S., the latest ratings from...",1
05/07/2012,"Yelp (YELP +7.6%) soars to levels last seen in early April, as speculation grows that Apple...",1
05/07/2012,Facebook (NASDAQ:FB) joins Google (NASDAQ:GOOG) and a number of Asian carriers in backing the...,1
06/07/2012,"Facebook (FB +0.3%) is preparing to introduce a ""Want"" button to go with its now-ubiquitous...",1
06/07/2012,Yahoo (YHOO -0.5%) and Facebook (FB -0.5%) have reportedly settled their patent feud. Sources...,1
06/07/2012,Facebook's (NASDAQ:FB) latest idea for boosting ad revenue: mobile news feed ads that target...,1
06/07/2012,Yahoo (YHOO) and Facebook's (NASDAQ:FB) reported patent settlement and expanded partnership is...,1
09/07/2012,Facebook (FB +3.4%) starts the new week by outperforming yet again. Shares are up 25% over the...,1
09/07/2012,Facebook's (FB +3.1%) plan to create a job board in partnership with 3rd-party platforms isn't a...,1
09/07/2012,"Microsoft's (NASDAQ:MSFT) $6.2B aQuantive write-down has much to do with execution, but a tough...",1
09/07/2012,"Facebook (NASDAQ:FB) is seeing declining activity among U.S. users, according to a Pac Crest...",1
10/07/2012,Hulu CEO Jason Kilar just turned down Yahoo's overtures . will he be open to Facebook's...,0
11/07/2012,"""We are going to remain private as long as we want,"" says Twitter CEO Dick Costolo, shooting...",0
16/07/2012,"Facebook (NASDAQ:FB) makes another ""acqui-hire,"" grabbing the staff of mobile bookmarking...",0
16/07/2012,"Facebook (FB -4.3%), which had strongly outperformed the NASDAQ from early June to early July,...",0
17/07/2012,"Autodesk (ADSK +0.8%) is acquiring Socialcam, developer of a popular mobile video-sharing app,...",0
17/07/2012,Facebook (FB -2.9%) and Zynga (ZNGA -7%) dive following a Capstone Investments report claiming...,0
18/07/2012,User discontent with Facebook's (FB +2%) Timeline feature has led to declining customer...,2
19/07/2012,Mark Zuckerberg and other senior Facebook (NASDAQ:FB) execs will spend two days at Wal-Mart's...,0
19/07/2012,Wal-Mart (NYSE:WMT) CEO Mike Duke and his crew will spend 2 days hosting Mark Zuckerberg...,0
20/07/2012,"Facebook (FB -0.5%) acquires Wallet and Pulp app maker Acrylic, according to a report on...",1
23/07/2012,ComScore and others have reported Facebook (FB -0.9%) has seen a major growth slowdown in U.S....,2
25/07/2012,Facebook (NASDAQ:FB) -7.6% AH due to Zynga's giant Q2 miss and weak guidance. GRPN -4.7%. P...,2
25/07/2012,"Notable earnings after Thursday's close: AMGN, AMZN, APKT, ARBA, CA, CB, CBL, CERN, CINF, CLWR,...",2
25/07/2012,"During a lively Q2 earnings call (live blog), Zynga (NASDAQ:ZNGA) partly attributed its poor...",2
26/07/2012,"Notable earnings after Thursday's close: AMGN, AMZN, APKT, ARBA, CA, CB, CBL, CERN, CINF, CLWR,...",0
26/07/2012,"A Facebook (NASDAQ:FB) phone will arrive in mid-2013 with HTC's help, Bloomberg reports. Like a...",0
26/07/2012,Premarket gainers: GENE +33%. PSDV +24%. IBIO +21%. S +18%. WDC +17%. AKAM +16%. PCS +14%. TEX...,0
26/07/2012,"Expectations have fallen for Facebook (FB -5.3%) heading into today's Q2 report, thanks to...",0
26/07/2012,"Could ""sandbagged estimates"" come to Facebook's (FB -6.7%) rescue today? Nicholas Carlson points...",0
26/07/2012,Facebook (NASDAQ:FB): Q2 EPS of $0.12 in-line. Revenue of $1.18B (+32% Y/Y) beats by $30M....,0
26/07/2012,"More on Facebook's Q2: Monthly active users (MAUs) were 955M at end of June, +6% Q/Q and +29%...",0
26/07/2012,From the slide deck accompanying Facebook's Q2 report: North American/European monthly users +2%...,0
26/07/2012,"Mentioned during Facebook's Q2 call (transcript): Global ad impressions +18% Y/Y, but U.S....",0
27/07/2012,Premarket gainers: AUTH +60%. OCZ +29%. MNI +19%. STEM +18%. SIMO +17%. ACI +14%. EXPE +14%. KKR...,2
27/07/2012,"Facebook (FB -13.2%) plunges after meeting lowballed estimates, but reporting major slowdowns in...",2
27/07/2012,"Facebook (FB -10.6%) recoups some of its early losses, as analysts stay loyal following the...",2
31/07/2012,Facebook (FB -4.9%) tumbles to new lows; shares are now down 42% from their $38 IPO price. The...,0
31/07/2012,"More on Facebook: Limited Run, provider of a distribution platform for musicians, is making...",0
31/07/2012,"Google (NASDAQ:GOOG) has acquired Wildfire, a provider of solutions that help advertisers manage...",0
01/08/2012,"Google (NASDAQ:GOOG) paid ~$400M to buy social media ad services firm Wildfire, sources tell...",0
01/08/2012,Facebook (FB -2.8%) mentions in its Q2 10-Q that 103M of its 543M mobile monthly users only...,0
01/08/2012,Fidelity slashes its Facebook (FB -3.6%) stake - 21 of its funds selling over 1.9M shares in...,0
01/08/2012,"Though Apple's (NASDAQ:AAPL) investment talks with Twitter are dead, the companies continue to...",0
01/08/2012,"On a day when Facebook (FB -3.8%) made new post-IPO lows, two more execs - platform partnerships...",0
02/08/2012,"Facebook (FB -4%) can't catch a break. Shares are making new lows again, and are now barely...",0
02/08/2012,"Thanks to Facebook's (FB -4%) selloff, the price tag for the Instagram acquisition is now only...",0
03/08/2012,"Investors may have soured on Facebook, but they still love LinkedIn (LNKD +14.1%), whose booming...",2
03/08/2012,"Risk assets are popular today, and that includes Facebook (FB +9.3%), which is halting a string...",2
06/08/2012,"Facebook (FB +2.7%) is adding to Friday's gains, though shares remain down 19% from pre-earnings...",2
07/08/2012,"As it looks for further sources of monetization, Facebook (NASDAQ:FB) is entering the world of...",0
08/08/2012,Facebook (NASDAQ:FB) news roundup: 1) Lead designer Ben Blumefeld is leaving. This is the latest...,1
10/08/2012,Facebook (FB +3.4%) and Groupon (GRPN +6.2%) are rallying strongly today; shorts may be covering...,2
10/08/2012,Facebook (FB +2.5%) and the FTC have finalized the terms of a November settlement regarding the...,2
10/08/2012,"Facebook (FB +3.2%) gets an insider buying the stock, Netflix CEO and Facebook board member Reed...",2
10/08/2012,"Microsoft (NASDAQ:MSFT) doesn't plan to sell its 26.2M share, 1.7% stake in Facebook (NASDAQ:FB)...",2
13/08/2012,Facebook's (NASDAQ:FB) battered shares could come under further pressure on Thursday when the...,0
14/08/2012,Facebook (FB -3.8%) and Yelp (YELP -2.9%) sell off following Groupon's Q2 debacle. Yelp could...,0
14/08/2012,"Facebook (FB -5.7%) news roundup: 1) S&P is upgrading to Buy, arguing insiders are unlikely...",0
14/08/2012,Facebook (FB -5.7%) rises 0.8% AH after George Soros reveals he took a 341K share stake in the...,0
15/08/2012,"At a meeting last October of Facebook's (NASDAQ:FB) new ""Client Council"" of senior execs from 13...",2
15/08/2012,Early Facebook (NASDAQ:FB) investor and director Peter Thiel converted more than 9M of his...,2
15/08/2012,A bit more perspective on the Thiel move from Buddy Carter: He was long more than...,2
15/08/2012,German data protection officials reopen a probe into Facebook's (NASDAQ:FB) facial recognition...,2
15/08/2012,Facebook (FB +1.4%) is now experimenting with allowing companies to place ads in a user's news...,2
15/08/2012,"The bears are still piling in to Facebook (NASDAQ:FB), the number of shares on loan to short...",2
16/08/2012,"Facebook (NASDAQ:FB) -2.7% as its first lockup expiration gets underway. To recap: 271M shares,...",0
16/08/2012,"Well, that was quick: Facebook (FB -6.2%) has crashed through the $20 level on the day of its...",0
16/08/2012,"As Facebook (FB -5%) dives on heavy volume on lockup expiration day, the FT reports the company...",0
16/08/2012,"Apparently wanting someone else to do the deed, Accel Partners is offloading 50M shares of its...",0
17/08/2012,Facebook (FB -2.9%) sells off yet again - shares are down 9% since the company saw its first...,0
17/08/2012,"As Facebook (FB -4%) continues diving (previous), Dan Primack points out tax considerations...",0
17/08/2012,"YouTube's (NASDAQ:GOOG) U.S. video views reached 19.6B in July, estimates comScore - that's up...",0
17/08/2012,Facebook's (NASDAQ:FB) brutalizing after going public may be the best thing that could've...,0
20/08/2012,"Capstone is making a bullish call on Facebook (FB -0.8%), upgrading shares to Buy after airing...",2
20/08/2012,It looks as if Facebook (FB +5%) shorts (previous) are taking profits; shares have shot higher...,2
20/08/2012,NYU finance prof./valuation theorist Aswath Damodaran now gives Facebook (FB +5.3%) an intrinsic...,2
20/08/2012,Early Facebook (FB +5%) investor and director Peter Thiel discloses he sold 20.06M shares on...,2
21/08/2012,As Facebook (FB -3.4%) sells off on news director/seed investor Peter Thiel has cashed out in a...,0
22/08/2012,Facebook (FB +1.5%) adds another ad format to its growing arsenal: the company's Sponsored...,1
22/08/2012,The FTC unanimously votes to end its investigation of Facebook's (NASDAQ:FB) purchase of...,1
23/08/2012,More on Baird's survey: A mere 2% of current BlackBerry (RIMM) users plan on buying another...,1
23/08/2012,Facebook (NASDAQ:FB) has given its iOS apps a needed performance boost. Both the iOS and Android...,1
23/08/2012,"Twitter is ""reevaluating the timing"" of its IPO in light of the Facebook (NASDAQ:FB) debacle,...",1
24/08/2012,"""Peter Thiel, a billionaire genius in the realm of startups, is not a good signal maker for...",1
27/08/2012,"Some Facebook (FB -1%) news: 1) Facebook has acquired Threadsy, developer of a tool that...",0
27/08/2012,"Mobile banner ads tend to have much higher click rates, observes ad firm MediaMind. While PC...",0
28/08/2012,"Facebook (NASDAQ:FB) is in talks with traffic/navigation app developer Waze, possibly about an...",2
29/08/2012,Facebook wins approval from California to issue stock for its purchase of Instagram. The deal -...,0
30/08/2012,Facebook (FB +0.9%) is edging higher on a down day following positive comments and a CNBC...,1
31/08/2012,"It's obvious day today as Facebook (NASDAQ:FB) has its price target cut to $23 from $35 at BAML,...",0
31/08/2012,"Facebook (FB -4%) makes new lows after BMO and Stifel join BofA in cutting their targets. BMO,...",0
31/08/2012,Facebook (FB -4.9%) continues its strategy of creating a bunch of new ad options and seeing what...,0
04/09/2012,JPMorgan's Doug Anmuth predicts Facebook's (FB +0.5%) Sponsored Stories ads will generate $1.25B...,0
04/09/2012,Everyone has an opinion on Facebook (FB -2%) today. 1) While positive on Sponsored Stories...,0
04/09/2012,"More on Facebook: 1) Henry Blodget argues burned Facebook investors have no reason to complain,...",0
04/09/2012,Facebook (NASDAQ:FB) +1.9% AH after disclosing in an 8-K Mark Zuckerberg has no plans to sell...,0
04/09/2012,"More on Facebook's 8-K: Though Mark Zuckerberg won't be selling for a while, employees will get...",0
05/09/2012,Facebook (FB +5%) bounces on news Mark Zuckerberg won't be selling shares for at least a year....,2
06/09/2012,Facebook's (FB +2.3%) purchase of Instagram has officially closed; the deal is worth $736M as of...,2
07/09/2012,Facebook's (NASDAQ:FB) U.S. mobile ad sales will total only $73M in 2012 (their first year of...,1
11/09/2012,Mark Zuckerberg is due to speak at a TechCrunch conference in San Francisco today in a rare...,2
11/09/2012,Facebook (NASDAQ:FB) and Netflix's (NASDAQ:NFLX) unique U.S. PC visitors each fell 6% Y/Y in...,2
11/09/2012,Facebook (NASDAQ:FB) +2.2% AH as Mark Zuckerberg starts talking (video) at the TechCrunch...,2
11/09/2012,"More from Mark Zuckerberg: He once more claimed a Facebook phone doesn't make sense, in spite of...",2
12/09/2012,Premarket gainers: MEDW +39%. SSRX +21%. JVA +18%. NBG +13%. FB +7%. YOKU +6%. NOK +6%. AUO +5%....,1
13/09/2012,Facebook (NASDAQ:FB) takes its third-party ad exchange out of beta. The company has been hyping...,0
13/09/2012,"Facebook's (NASDAQ:FB) U.S. PC usage decline isn't just because of mobile, says Evercore's Ken...",0
14/09/2012,Recent Internet IPOs are staging a big rally. FB +4.6%. ZNGA +5%. GRPN +7.4%. LNKD +3.8%. YELP...,2
17/09/2012,Google (NASDAQ:GOOG) has responded to Facebook/Instagram by acquiring Nik Software. Nik is best...,0
18/09/2012,Google (NASDAQ:GOOG) recently boasted it now has 400M total Google+ users and 100M monthly...,2
18/09/2012,This week's new Facebook (NASDAQ:FB) ad format: a mobile ad network for third-party sites and...,2
19/09/2012,Facebook (FB +3.1%) is rallying again today after Baird's Colin Sebastian provides a favorable...,2
20/09/2012,Some Facebook (FB -1.7%) news: 1) Facebook says it will start charging businesses for its Offers...,0
20/09/2012,Cantor's Youssef Squali has launched coverage on the Internet sector with a relatively bullish...,0
21/09/2012,Ireland's investigation into Facebook's (NASDAQ:FB) privacy and data protection policies ends...,1
21/09/2012,Facebook (NASDAQ:FB) roundup: 1) Having pleased iOS users by boosting the performance of its...,1
24/09/2012,Facebook (NASDAQ:FB) may have found a way to prove its value to advertisers by working with...,0
24/09/2012,Facebook (NASDAQ:FB) slides 4.4% to $21.85 premarket following a Barron's cover story suggesting...,0
24/09/2012,Premarket gainers: LPH +39%. RMBS +13%. TIVO +10%. STSI +10%. HEB +8%. CPRX +6%. Losers: PPHM...,0
24/09/2012,A cautious Goldman note could be adding to Facebook's (FB -6.7%) losses this morning. The firm...,0
24/09/2012,"Facebook's (FB -9.1%) plunge managed to trigger short-sale curbs at 12:37PM ET, and from the...",0
26/09/2012,Facebook (NASDAQ:FB) roundup: 1) The WSJ reports about 50 lawsuits have now been filed against...,2
27/09/2012,"The total number of minutes spent by U.S. users on Facebook (NASDAQ:FB) fell 5% M/M in August,...",0
27/09/2012,"Facebook (NASDAQ:FB) launches Gifts, a feature that allows users to (you guessed it) buy gifts...",0
28/09/2012,"Facebook (FB +5.9%) is shooting higher after launching Gifts, arguably its first serious attempt...",2
01/10/2012,Facebook (FB +2.2%) is rallying today even though Oppenheimer lowered its target to $27 from...,1
01/10/2012,Facebook (FB +1.5%) monetization data chief Brent Smallwood tries to counter criticism of the...,1
03/10/2012,"Because a week wouldn't be complete without a new Facebook (FB -2.1%) ad product, the company is...",0
04/10/2012,Facebook (FB +1.6%) trades higher after Mark Zuckerberg announces the company now has over 1B...,0
04/10/2012,"In a Bloomberg Businessweek interview, Mark Zuckerberg says he's confident Facebook (FB) will...",0
04/10/2012,More on Facebook: An in-depth column accompanying the interview shines a light on Facebook's...,0
04/10/2012,Zynga (NASDAQ:ZNGA) has resumed trading following its Q3/2012 warning. Shares are down 16.5% AH...,0
05/10/2012,Facebook (NASDAQ:FB) has its payments revenue target cut at JPMorgan following the Zynga warning...,0
05/10/2012,A panel of federal judges grants Facebook's (NASDAQ:FB) request for dozens of IPO lawsuits -...,0
05/10/2012,"Facebook (FB -4.7%), which sold off in late trading as the Street weighed the implications of...",0
08/10/2012,Facebook (NASDAQ:FB) is downgraded to Sell with price target of $16 at BTIG. Previously never...,1
08/10/2012,More on BTIG's downgrade of Facebook (FB -1.3%): Analyst Richard Greenfield argues Facebook's...,1
08/10/2012,"Relying on its new ""Want"" and ""Collect"" buttons, Facebook (FB -2.4%) has begun testing...",1
10/10/2012,Bloomberg describes how the SEC extracted key data from a reluctant Facebook (NASDAQ:FB) prior...,0
10/10/2012,Facebook (FB -2%) is getting tripped up by negative comScore data yet again. The research firm...,0
10/10/2012,A downgrade to Neutral from Piper's Michael Olson has made Zynga among the day's big tech...,0
10/10/2012,His company's PC gaming activity (and thus its Payments revenue) under pressure from the shift...,0
10/10/2012,"Global data center investment is set to rise 22% this year to $105B, estimates research firm...",0
11/10/2012,Facebook (FB +0.7%) has unveiled a big overhaul for its popular Open Graph social sharing...,1
17/10/2012,Facebook (FB +2.3%) is closing higher after Wedge Partners argues the company's closely-watched...,2
17/10/2012,"More on Facebook: Following its IPO, Facebook is reportedly having a much tougher time competing...",2
18/10/2012,Several Internet stocks are heading south in response to Google's early Q3 report. Facebook (FB...,0
19/10/2012,The SEC's probe of Facebook's (FB +0.1%) IPO has found no evidence thus far the company withheld...,1
19/10/2012,More on Facebook: Mobile VP Vaughan Smith claims the company's mobile ad click rates are 10x...,1
22/10/2012,Facebook (FB +1.2%) outperforms ahead of tomorrow's Q3 report after Susquehanna forecasts...,1
22/10/2012,More on Facebook: The WSJ's Rolfe Winkler decides to play devil's advocate: he argues Facebook's...,1
22/10/2012,"Notable earnings after Tuesday’s close: ACE, AFL, ALTR, AMGN, BCR, BNNY, BRCM, BWLD, CBI,...",1
