Date,Headlines
"Wed, Aug. 05",Instagram tackles TikTok challenge with debut of Reels feature
"Mon, Aug. 03",Vornado Realty leases Farley Building to Facebook
"Sat, Aug. 01","Apple, Amazon, Microsoft, Google and Facebook confound index skeptics, as their earnings beats drive the S&P 500 to even greater concentration"
"Sat, Aug. 01",Megacap tech surge forces a rethink: fundamentals or multiple expansion?
"Sat, Aug. 01",TikTok rescue by Microsoft could make sense - Wedbush
"Fri, Jul. 31","With Facebook boycott wrapping, GM says it's not resuming ad spend; what about other brands?"
"Fri, Jul. 31",Facebook launching music videos this weekend
"Fri, Jul. 31",Social stocks mostly calm amid Microsoft-TikTok talk
"Fri, Jul. 31","Facebook surge leads tech megacaps higher, but Alphabet stumbles"
"Fri, Jul. 31",Facebook analysts cautious on ad revenue growth
"Fri, Jul. 31","Australia to force Google, Facebook to pay for news content"
"Fri, Jul. 31",Facebook finally securing rights to music videos - Bloomberg
"Thu, Jul. 30","Big tech - Apple, Amazon, Facebook, Alphabet show rally was no fluke?"
"Thu, Jul. 30","Search trends point to ongoing interest in games, e-commerce"
"Thu, Jul. 30","Facebook +1.6% as ad revenues, users drive easy Q2 beat"
"Thu, Jul. 30","Facebook EPS beats by $0.40, beats on revenue and active users, shares +5%"
"Thu, Jul. 30","Amazon, Google, Apple and Facebook report earnings after the close"
"Wed, Jul. 29",Facebook Q2 2020 Earnings Preview
"Wed, Jul. 29",Key House tech antitrust hearing under way after delay (updated)
"Wed, Jul. 29","CEOs of Amazon, Google, Apple and Facebook testify before Congress"
"Tue, Jul. 28",Instagram making 'lucrative offers' to TikTok creators - WSJ
"Mon, Jul. 27","Facebook moves earnings to Thursday, with Zuckerberg's conflict"
"Sun, Jul. 26","Ahead of testimony, Facebook, Twitter, Snapchat under fire from Presidential campaigns"
"Sat, Jul. 25",House's tech antitrust hearing reset for Wednesday
"Fri, Jul. 24",House delays high-profile tech antitrust hearing
"Fri, Jul. 24",House's tech-antitrust hearing likely headed for delay
"Thu, Jul. 23",Facebook proposing $650M to settle class-action case over biometrics
"Thu, Jul. 23","Twitter +7.9% as monetizable users, subscription potential steal focus from ad-sales disappointment"
"Thu, Jul. 23",Telecom takes a first step in helping sector as a whole
"Wed, Jul. 22",Facebook expected to join Twitter in action against QAnon theories
"Wed, Jul. 22",Reinvention separates megacaps from dot-com’s winners – JMP’s Lehmann
"Wed, Jul. 22",WhatsApp testing credit offering to India users - TechCrunch
"Wed, Jul. 22",Energy stocks giving back gains as inventory concerns rise
"Tue, Jul. 21",Snap remarks offer lens into Q3 expectations; social stocks dip
"Sat, Jul. 18","Disney, Facebook's No.1 advertiser, slashes its spend"
"Fri, Jul. 17","FTC could depose Zuckerberg, Sandberg in Facebook probe - WSJ"
"Thu, Jul. 16","Twitter hack, Disney downgrade dent Communication Services"
"Thu, Jul. 16",Facebook preps global launch of TikTok competitor - NBC
"Thu, Jul. 16",EU top court strikes down data-sharing deal with U.S.
"Wed, Jul. 15",These big tech names are integral to Fund's S&P-beating strategy
"Wed, Jul. 15","Facebook, Sony boost game hardware production to feed hungry market - Nikkei"
"Tue, Jul. 14","Google favoring YouTube results over rivals, WSJ says"
"Mon, Jul. 13","Jefferies raises targets on Facebook, rivals amid improving ad market"
"Mon, Jul. 13",Megacaps rejoin the party with stocks set for broad-based rally
"Sat, Jul. 11","Deconstruct FAANG stocks, and the 'N' should be replaced with another"
"Fri, Jul. 10",Facebook mulls political ad blackout before U.S. election - Bloomberg
"Fri, Jul. 10",Social Capital CEO builds short case for Facebook and Alphabet
"Thu, Jul. 09",Supreme Court will review Facebook's unsolicited text appeal
"Wed, Jul. 08",Facebook civil rights audit dings 'weaponized' platform
"Tue, Jul. 07",Facebook meeting disappointed civil rights groups
"Tue, Jul. 07",Facebook accused of 'unkept promises' by the DNC
"Tue, Jul. 07",Social media stocks in focus as Facebook faces day of diplomacy
"Tue, Jul. 07",Facebook 'stands firmly against hate' - Sandberg
"Tue, Jul. 07",Facebook meets with social justice leaders over boycott
"Mon, Jul. 06",Instagram testing Reels feature in India
"Mon, Jul. 06","Facebook, WhatsApp stop processing Hong Kong data requests"
"Fri, Jul. 03","Twitter, Facebook to face free speech test in Hong Kong"
"Fri, Jul. 03",Sony PlayStation pulls ads from Facebook until end of month
"Fri, Jul. 03",Facebook adds banners to encourage mask wearing
"Thu, Jul. 02","Facebook's Zuckerberg, Sandberg set Tuesday meeting with boycott organizers"
"Thu, Jul. 02","Facebook to discontinue Lasso, TikTok clone"
"Thu, Jul. 02",Facebook ad boycott could stretch until November - Needham
"Thu, Jul. 02",Big Tech CEOs set to testify before Congress
"Wed, Jul. 01",Facebook's Zuckerberg expects advertisers back 'soon enough' - report
"Wed, Jul. 01",Facebook agrees to brand-safety audit - Adweek
"Wed, Jul. 01",Constellation Brands joins the list of companies halting ads on social media
"Wed, Jul. 01",Twitch cementing dominance with new record quarter - report
"Wed, Jul. 01","Facebook responds to boycott, offers to meet with organizers; shares rising"
"Tue, Jun. 30",Gaming and Internet ETFs top the competition in historic first half
"Tue, Jun. 30",Facebook calls mass meeting of advertisers amid boycott
"Mon, Jun. 29",Chinese Internet giants stride as U.S. counterparts face headwinds
"Mon, Jun. 29",HP pulls its U.S. Facebook ads
"Mon, Jun. 29",Microsoft pauses global Facebook ads - Axios
"Mon, Jun. 29",Several more advertisers pull social media ad spending
"Mon, Jun. 29",Clorox cutting Facebook advertising through December
"Mon, Jun. 29",Social media stocks keep sliding premarket on revenue concerns
"Mon, Jun. 29","Buy the dips in Facebook, says sell-side bull"
"Mon, Jun. 29",Facebook ad boycott campaign set to go global
"Sun, Jun. 28",Starbucks joins companies stopping ads on social media
"Sat, Jun. 27","Diageo, following peers, takes a step back from social media"
"Fri, Jun. 26",Hershey pauses advertising on Facebook and Instagram
"Fri, Jun. 26",Coca-Cola to pause all social media advertising
"Fri, Jun. 26",Facebook and financials send Wall Street reeling
"Fri, Jun. 26","Zuckerberg announces Facebook policies on voting info, hate speech"
"Fri, Jun. 26",P&G review could be new bombshell for digital ad companies
"Fri, Jun. 26","Unilever halting ads on Facebook, Twitter for 2020"
"Fri, Jun. 26",Facebook looks to contain spread of ad boycott; shares -6.4%
"Thu, Jun. 25",Verizon pausing Facebook ads as boycott gains momentum
"Thu, Jun. 25","Baird lifts Facebook, Alphabet targets on ad recovery"
"Wed, Jun. 24",Google weighs alternatives for Hong Kong undersea cable
"Tue, Jun. 23",Big 5 tech stocks rallying further to new highs
"Tue, Jun. 23",Facebook shuts down entry-level Oculus Go VR headset
"Tue, Jun. 23",Ben & Jerry's considers jumping on the 'boycott Facebook' train
"Mon, Jun. 22",Direxion gives details on WFH ETF
"Mon, Jun. 22","Microsoft closing Mixer, moving content to Facebook Gaming"
"Mon, Jun. 22","Patagonia, REI join Facebook ad boycott"
"Fri, Jun. 19",The North Face joins ad boycott of Facebook
"Fri, Jun. 19",Dentsu agency urges clients to support Facebook ad boycott
"Thu, Jun. 18",Stocks end choppy day right at flatline
"Thu, Jun. 18",Facebook pulls Trump campaign ad featuring controversial symbol
"Thu, Jun. 18",Facebook files suits tied to use of automation software
"Thu, Jun. 18",France calls U.S. withdrawal from digital tax talks a 'provocation'
"Wed, Jun. 17",J.P. Morgan shores up top picks in online ad rebound
"Wed, Jun. 17",DOJ proposals against online platforms could come today - WSJ
"Wed, Jun. 17",Facebook's Jio investment under antitrust review
"Tue, Jun. 16",Facebook sharpens transparency rule to close political-ad loophole
"Tue, Jun. 16","House Intel panel to hear from Facebook, Google, Twitter"
"Mon, Jun. 15",Oppenheimer weighs potential bidders for AT&T's games business
"Mon, Jun. 15",Visa helps launch payments on WhatsApp in Brazil
"Mon, Jun. 15",WhatsApp launches digital payments in Brazil
"Mon, Jun. 15",Main Street has killed Wall Street during this rally. Here are the stocks they're buying
"Sat, Jun. 13",Grantham on 'fourth great stock market event' in his career
"Fri, Jun. 12","DOJ, FTC fighting over handling Facebook/Giphy probe - Politico"
"Fri, Jun. 12",Facebook pausing Giphy integration amid probe - Reuters
"Fri, Jun. 12","Facebook, Giphy deal probed by UK regulator"
"Fri, Jun. 12",What is free speech on social media?
"Thu, Jun. 11",Cox returns as Facebook head of product
"Thu, Jun. 11",Facebook establishing a 'multi-million dollar' venture fund
"Wed, Jun. 10","Higher online media targets from BofA, as trends look up"
"Tue, Jun. 09","Gundlach sees stocks falling, gold rising despite 'Superman' Powell's heavy lifting"
"Tue, Jun. 09","Goldman raises Facebook target on Shops, Checkout potential"
"Sat, Jun. 06",Zuckerberg pledges to review some Facebook content policies
"Fri, Jun. 05",Facebook slaps labels on state-controlled media
"Thu, Jun. 04",Why isn't Facebook using Oversight Board for Trump posts?
"Wed, Jun. 03",Snapchat stops promoting Trump content after comments
"Wed, Jun. 03","Facebook and PayPal invest in Indonesian ride-hailing, payments app"
"Wed, Jun. 03",U.S. launches probe into foreign digital taxes
"Tue, Jun. 02",Zuckerberg defends easy approach on Trump posts
"Mon, Jun. 01","Walkout underway at Facebook, virtually, in protest of policies"
"Mon, Jun. 01","Trump, Zuckerberg talk amid social media crackdown"
"Thu, May 28",Trump signs executive order targeting social media
"Thu, May 28","Twitter doubles down on labeling, even under threat"
"Thu, May 28",Google reportedly exploring stake in Vodafone Idea
"Thu, May 28",Zuckerberg responds to threats against social media
"Thu, May 28",Trump order to enable punishment for social media - WP
"Wed, May 27",Trump to sign executive order on social media tomorrow - WH
"Wed, May 27",'Almost thrown in the towel' -- Novogratz on fighting the tape
"Wed, May 27","In volatile market, Morgan Stanley chooses secular growth winners"
"Wed, May 27",Stay-at-home selloff continues as economy revs up
"Wed, May 27",Facebook Shops could bring $7B profits by 2023 - Citi
"Wed, May 27",President threatens social media companies
"Sun, May 24","JioMart online grocery service takes on Amazon, Flipkart"
"Sat, May 23",Tech giants could be under review for online bias
"Thu, May 21",Facebook shifting more permanently to remote work
"Thu, May 21",Facebook +2.3% as Stifel bumps price target
"Thu, May 21",Big tech has a big problem in D.C.
"Wed, May 20",Amazon makes its move into big-budget gaming
"Wed, May 20",10 rules to return to the Facebook office
"Tue, May 19",Visa employees granted WFH status through year end
"Tue, May 19",Facebook +3.1% as it rolls out Shops feature
"Tue, May 19","Facebook, HP Inc. hit highs after Najarian's options mention"
"Tue, May 19",Disney -1.2% as Loop moves to sideline
"Mon, May 18",General Atlantic follows Facebook and Vista Equity with Jio investment
"Sat, May 16","Trump tweet raises threat for Google, Twitter, Facebook"
"Sat, May 16","Appaloosa Management buys Twitter, exits Caesars, cuts Facebook"
"Sat, May 16",Saudi sovereign Fund adds Facebook and Disney to holdings
"Fri, May 15",Facebook buying GIPHY for $400M
"Fri, May 15",Facebook price target hiked on revenue potential
"Fri, May 15","Baupost moves: Adds Alphabet, Facebook; exits Bristol Myers Squibb"
"Thu, May 14",Facebook's African internet project moves forward
"Thu, May 14",Only an hour to delete criminal content in France
"Wed, May 13","Despite spending slowdown, Nomura sees cloud computing boost in pandemic"
"Tue, May 12",Facebook paying $52M settlement to moderators
"Tue, May 12",'Forever' work from home a reality now at Twitter
"Tue, May 12",'No doubt' economy is 'divorced' from stock and bond markets - Social Capital CEO
"Fri, May 08",Facebook unveils redesigned desktop site
"Thu, May 07",Facebook allowing work-from-home through year-end for most - CNBC
"Thu, May 07",Facebook appoints first members of oversight board
"Tue, May 05",Facebook working on new version of Oculus Quest headset
"Mon, May 04",Silver Lake follows Facebook with Jio investment
"Fri, May 01",Facebook facing loss of ad-industry benchmark - WSJ
"Thu, Apr. 30","Lockdowns are 'fascist,' says Musk, Zuckerberg disagrees"
"Thu, Apr. 30",There ain't no ad recession in Menlo - Barclays
"Wed, Apr. 29",Facebook +6.4%; usage tops expectations in Q1
"Wed, Apr. 29","Facebook EPS beats by $0.01, beats on revenue"
"Wed, Apr. 29","Google ramps up Video conference wars, making Meet free"
"Tue, Apr. 28","In pandemic world, Zuckerberg tightens grip on Facebook's wheel - WSJ"
"Tue, Apr. 28",Facebook Q1 2020 Earnings Preview
"Tue, Apr. 28",Facebook leases more space in Fremont - report
"Mon, Apr. 27",Zoom needn't worry about Facebook feature - Morgan Stanley
"Fri, Apr. 24",Zoom turns negative as Facebook introduces group calling feature (updated)
"Thu, Apr. 23",Risk is limited in Facebook's Jio stake - Citi
"Wed, Apr. 22",Social media marks banner day as Snap jumps 28% post-earnings
"Tue, Apr. 21",Facebook pours $5.7B into India's Reliance Jio
"Tue, Apr. 21",Social media gets lift from Snap's earnings surprise
"Tue, Apr. 21",Facebook places limits on protest organizers
"Mon, Apr. 20","Google, Facebook must pay for news content Down Under"
"Sun, Apr. 19",Facebook launching Gaming app early - NYT
"Fri, Apr. 17","Facebook, India's Reliance discuss 'super' app - report"
"Fri, Apr. 17",Facebook cancels large gatherings through June 2021
"Thu, Apr. 16",Facebook will reach out to users interacting with virus misinformation
"Thu, Apr. 16",'Cataclysmic' landscape - IAC's Diller on CNBC talks plunge in ad spending
"Wed, Apr. 15","Ad slump isn't sparing Google, Facebook - NYT"
"Sun, Apr. 12","Facebook spent $23M in 2019 on Zuckerberg's security, private travel"
"Thu, Apr. 09","Loop cuts Facebook target, boosts Alphabet's on ad concerns"
"Tue, Apr. 07",Facebook Gaming launches Tournaments
"Tue, Apr. 07",WhatsApp tightens message forwarding limits
"Mon, Apr. 06",Facebook set to install Portals in UK care homes - report
"Sat, Apr. 04",It's ugly in advertising - Barron's
"Thu, Apr. 02","Facebook adding 10,000 workers this year"
"Thu, Apr. 02",Facebook launches Messenger app for desktop
"Mon, Mar. 30",Morgan Stanley cuts internet name PTs on weaker ad spend
"Thu, Mar. 26",Facebook taps Kimmitt as lead independent director
"Wed, Mar. 25",Patent board grants BlackBerry review of Facebook challenge
"Wed, Mar. 25","State AGs ask Amazon, Walmart to prevent price gouging"
"Wed, Mar. 25",Facebook target cut after ad hit
"Wed, Mar. 25",#BuildforCOVID19 global online hackathon
"Tue, Mar. 24","Facebook says despite high usage, ads taking hit in viral hot regions"
"Tue, Mar. 24",Facebook introduces new paid-time off programs
"Mon, Mar. 23",EU asks tech platforms for help with pandemic rogue traders
"Mon, Mar. 23",Facebook cuts streaming quality across Europe
"Fri, Mar. 20",Jefferies names potential tech winners amid outbreak
"Fri, Mar. 20",Facebook expands ad ban on COVID-19-related products
"Thu, Mar. 19",Instagram tests disappearing text messages
"Thu, Mar. 19",Europe urges streamers to limit service amid network pressure
"Wed, Mar. 18",Harnessing location data to combat coronavirus
"Tue, Mar. 17","Facebook giving $1,000 bonus to all employees - report"
"Tue, Mar. 17","Amazon, Facebook called 'best ideas' amid outbreak"
"Tue, Mar. 17",Big Tech unites on coronavirus response
"Fri, Mar. 13","Chenault moving from Facebook board to Berkshire, to replace Gates"
"Thu, Mar. 12","Twitter, Facebook clamp down on Russian network"
"Thu, Mar. 12","Big tech more resilient, and Facebook has least downside - MKM"
"Tue, Mar. 10",Baird finds good rebounders among FANGs
"Mon, Mar. 09",Facebook adds two directors to board
"Mon, Mar. 09",Cambridge Analytica scandal still plagues Facebook
"Fri, Mar. 06",Big tech paying hourly wages despite reduced services
